example_id,query,action,crime_type,area,time_window,language
AG-01901,Show the accused and FIR network for Unlawful Assembly at Silk Board,investigate_network,Unlawful Assembly,Silk Board,all,en
AG-09503,Show the accused and FIR network for Murder at Bannerghatta Road last month,investigate_network,Murder,Bannerghatta Road,last_month,en
AG-00825,Analyze hotspot evidence for Narcotics at Hebbal today,show_hotspots,Narcotics,Hebbal,today,en
AG-03332,ಕೋರಮಂಗಲ ಪ್ರದೇಶದ ಮಾದಕ ವಸ್ತು ಅಪರಾಧ ವರದಿಗಳನ್ನು ಈ ವಾರ ಹುಡುಕಿ,search_cases,Narcotics,Koramangala,this_week,kn
AG-00824,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿ ಪ್ರದೇಶದ ಮಹಿಳಾ ಕಿರುಕುಳ ವರದಿಗಳನ್ನು ಹುಡುಕಿ,search_cases,Eve Teasing,Electronic City,all,kn
AG-04858,ಯಶವಂತಪುರ ಸಮೀಪ ಸೈಬರ್ ಅಪರಾಧ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Cyber Crime,Yeshwantpur,all,kn
AG-05123,Show the accused and FIR network for Child Offences at Rajajinagar last month,investigate_network,Child Offences,Rajajinagar,last_month,en
AG-09643,Show Fraud & Cheating cases in Bannerghatta Road,search_cases,Fraud & Cheating,Bannerghatta Road,all,en
AG-06539,Which repeat offenders connect Assault & Violence cases in Jayanagar in the last 30 days?,investigate_network,Assault & Violence,Jayanagar,last_30_days,en
AG-09640,ಬಿಟಿಎಂ ಲೇಔಟ್ ಸಮೀಪ ಇಂದು ಕೋಮು ಅಪರಾಧ ಹೆಚ್ಚಿನ ಅಪಾಯದ ಪ್ರದೇಶಗಳು ಯಾವುವು?,show_hotspots,Communal Offences,BTM Layout,today,kn
AG-04998,ವೈಟ್‌ಫೀಲ್ಡ್ ಪ್ರದೇಶದ ಸೈಬರ್ ಅಪರಾಧ ಪ್ರಕರಣಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳು ಯಾರು?,investigate_network,Cyber Crime,Whitefield,this_week,kn
AG-06666,ವೈಟ್‌ಫೀಲ್ಡ್ದಲ್ಲಿ ಕಳೆದ ತಿಂಗಳು ಕಾಣೆಯಾದ ವ್ಯಕ್ತಿಗಳು ಪುನರಾವರ್ತಿತ ಆರೋಪಿಗಳ ಸಂಪರ್ಕ ಹುಡುಕಿ,investigate_network,Missing Persons,Whitefield,last_month,kn
AG-08040,ಜಯನಗರದಲ್ಲಿ ಇಂದು ದರೋಡೆ ಮತ್ತು ಡಕಾಯಿತಿ ಆರೋಪಿ ಮತ್ತು ಎಫ್‌ಐಆರ್ ಜಾಲವನ್ನು ತೋರಿಸಿ,investigate_network,Robbery & Dacoity,Jayanagar,today,kn
AG-01515,Map danger zones for Child Offences in Yelahanka last month,show_hotspots,Child Offences,Yelahanka,last_month,en
